City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Macia,MZ,-25.0269,33.0989,78.71,68,67,3.36,broken clouds
69,San Benito Abad,CO,8.929,-75.0271,71.44,86,34,0.67,scattered clouds
70,Jeremie,HT,18.65,-74.1167,73.78,85,69,7.65,broken clouds
71,Longyearbyen,SJ,78.2186,15.6401,8.44,66,40,20.71,scattered clouds
72,Victoria,HK,22.2855,114.1577,59.32,72,97,1.01,overcast clouds
73,Nuevo Casas Grandes,MX,30.4167,-107.9167,46.17,38,1,5.75,clear sky
74,Korla,CN,41.7597,86.1469,29.17,41,98,2.3,overcast clouds
75,Sistranda,NO,63.7256,8.834,30.16,71,100,11.86,overcast clouds
76,Banda Aceh,ID,5.5577,95.3222,85.28,67,58,9.51,broken clouds
77,Butaritari,KI,3.0707,172.7902,82.06,77,55,18.97,light rain
78,Marivan,IR,35.5219,46.176,26.53,80,21,5.7,few clouds
79,Barrow,US,71.2906,-156.7887,-5.78,77,0,11.5,clear sky
80,Moron,AR,-34.6534,-58.6198,74.95,71,46,4.0,scattered clouds
81,Ashnak,AM,40.3289,43.9185,23.52,83,41,1.97,scattered clouds
82,Cache Creek,CA,50.8101,-121.3246,38.01,98,99,1.57,light rain
83,Leningradskiy,RU,69.3833,178.4167,-15.74,93,88,5.17,overcast clouds
84,Aykhal,RU,66.0,111.5,-19.28,99,55,4.63,broken clouds
85,Albany,US,42.6001,-73.9662,9.21,66,20,2.57,few clouds
86,Sibolga,ID,1.7427,98.7792,85.57,66,91,5.59,overcast clouds
87,Sungaipenuh,ID,-2.0833,101.3833,78.28,66,97,1.32,overcast clouds
88,Cap Malheureux,MU,-19.9842,57.6142,87.48,63,73,11.99,broken clouds
89,Skofja Loka,SI,46.1655,14.3063,41.22,93,0,1.14,clear sky
90,Clyde River,CA,70.4692,-68.5914,-28.97,75,0,3.44,clear sky
91,Touros,BR,-5.1989,-35.4608,79.7,81,16,12.06,few clouds
92,East London,ZA,-33.0153,27.9116,74.34,83,0,8.05,clear sky
93,Raudeberg,NO,61.9875,5.1352,32.86,67,100,5.99,overcast clouds
94,Cherskiy,RU,68.75,161.3,-27.94,100,75,2.48,broken clouds
95,Erdenet,MN,49.0333,104.0833,3.6,75,11,3.71,few clouds
96,Portland,US,45.5234,-122.6762,45.36,89,100,5.99,overcast clouds
97,Baracoa,CU,20.3467,-74.4958,71.6,84,99,9.08,overcast clouds
98,Tonantins,BR,-2.8731,-67.8022,72.16,97,96,2.86,overcast clouds
99,Nikolskoye,RU,59.7035,30.7861,26.49,97,100,4.65,light snow
100,Chico,US,39.7285,-121.8375,48.7,74,0,0.0,clear sky
101,Bluff,NZ,-46.6,168.3333,62.31,86,97,3.71,overcast clouds
102,Weihe,CN,32.9952,105.3247,37.06,53,82,6.44,broken clouds
103,Acapulco,MX,16.8634,-99.8901,75.81,77,4,4.23,clear sky
104,Provideniya,RU,64.3833,-173.3,6.64,79,81,14.0,broken clouds
105,Bethel,US,41.3712,-73.414,21.18,70,0,0.0,clear sky
106,Crib Point,AU,-38.35,145.2,97.36,76,0,12.1,clear sky
107,Caravelas,BR,-17.7125,-39.2481,76.51,88,70,8.12,broken clouds
108,Pochutla,MX,15.7432,-96.4661,75.81,81,2,3.65,clear sky
109,Palana,RU,59.1167,159.9667,21.0,69,50,16.6,scattered clouds
110,Barcelos,PT,41.5388,-8.6151,42.69,55,0,3.87,clear sky
111,Hilo,US,19.7297,-155.09,70.79,83,0,0.0,clear sky
112,Mangrol,IN,21.1167,70.1167,74.95,54,2,6.08,clear sky
113,Floro,NO,61.5996,5.0328,33.96,60,75,11.5,broken clouds
114,Yen Bai,VN,21.7,104.8667,54.5,90,100,2.95,overcast clouds
115,Molochnoye,RU,59.2917,39.6787,15.89,95,100,10.49,overcast clouds
116,Yangjiang,CN,21.85,111.9667,59.95,60,89,12.82,overcast clouds
117,Pantai Remis,MY,4.4557,100.6288,91.76,63,39,4.81,scattered clouds
118,Nioro,GM,13.35,-15.75,73.89,23,65,7.65,broken clouds
119,Belyy Yar,RU,53.6039,91.3903,-9.51,77,40,0.0,mist
120,Inuvik,CA,68.3499,-133.7218,4.06,85,100,9.22,light snow
121,Mananara,MG,-16.1667,49.7667,81.37,62,17,7.0,few clouds
122,Richards Bay,ZA,-28.783,32.0377,76.98,77,96,8.43,overcast clouds
123,Launceston,AU,-41.45,147.1667,83.84,53,10,5.99,clear sky
124,Port Elizabeth,ZA,-33.918,25.5701,68.29,94,20,4.61,few clouds
125,Townsville,AU,-19.25,146.8,86.88,62,20,12.66,few clouds
126,Vestmannaeyjar,IS,63.4427,-20.2734,33.89,59,100,23.17,overcast clouds
127,Saint-Philippe,RE,-21.3585,55.7679,85.55,83,86,13.85,overcast clouds
128,Omaruru,NA,-21.4333,15.9333,64.45,84,98,0.83,light rain
129,Visnes,NO,59.3556,5.2242,37.22,60,40,9.22,scattered clouds
130,Dikson,RU,73.5069,80.5464,-3.37,94,100,22.3,overcast clouds
131,Vanimo,PG,-2.6741,141.3028,80.04,75,100,11.48,heavy intensity rain
132,Lazaro Cardenas,MX,17.9583,-102.2,72.82,76,0,4.21,clear sky
133,Aklavik,CA,68.2191,-135.0107,4.03,82,100,12.06,overcast clouds
134,Lata,PT,40.1629,-8.3327,36.01,51,19,4.27,few clouds
135,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,33,0,17.27,clear sky
136,Ugoofaaru,MV,5.6667,73.0,82.56,74,50,12.64,scattered clouds
137,Norman Wells,CA,65.282,-126.8329,-20.16,69,75,0.0,light snow
138,Boguchany,RU,58.3814,97.4531,5.5,91,99,1.41,overcast clouds
139,Airai,TL,-8.9266,125.4092,69.17,71,93,7.58,light rain
140,Kalmunai,LK,7.4167,81.8167,82.62,70,54,14.16,broken clouds
141,Yarada,IN,17.65,83.2667,77.52,58,4,3.58,clear sky
142,Esperance,AU,-33.8667,121.9,64.24,76,79,24.61,broken clouds
143,Burnie,AU,-41.0667,145.9167,76.95,66,39,6.67,scattered clouds
144,Brest,BY,52.1,23.7,33.76,64,100,22.37,overcast clouds
145,La Palma,US,33.8464,-118.0467,59.9,75,0,3.44,clear sky
146,Batagay,RU,67.6333,134.6333,-34.42,100,55,0.54,broken clouds
147,Tautira,PF,-17.7333,-149.15,82.0,78,82,16.06,broken clouds
148,Kemin,KG,42.7846,75.6892,33.73,57,46,2.13,scattered clouds
149,Merauke,ID,-8.4667,140.3333,85.05,66,100,8.81,moderate rain
150,Souillac,MU,-20.5167,57.5167,87.37,79,75,11.5,light rain
151,Kapit,MY,2.0167,112.9333,87.51,68,99,1.9,overcast clouds
152,Santa Maria,BR,-29.6842,-53.8069,66.2,87,13,5.08,few clouds
153,Safranbolu,TR,41.2508,32.6942,31.73,96,100,2.3,overcast clouds
154,Lorengau,PG,-2.0226,147.2712,81.28,81,100,15.93,overcast clouds
155,Kahului,US,20.8947,-156.47,74.84,66,20,4.61,few clouds
156,Samarai,PG,-10.6167,150.6667,83.68,72,100,18.95,overcast clouds
157,Mecca,SA,21.4267,39.8261,66.15,67,100,5.88,overcast clouds
158,Buraydah,SA,26.326,43.975,57.65,40,73,15.57,broken clouds
159,Bambous Virieux,MU,-20.3428,57.7575,87.22,79,75,11.5,broken clouds
160,Sovetsk,RU,55.0839,21.8785,30.88,81,94,16.84,overcast clouds
161,Linxia,CN,35.6003,103.2064,21.36,67,97,1.92,overcast clouds
162,La Romana,DO,18.4273,-68.9728,73.13,87,2,5.3,clear sky
163,Chadiza,ZM,-14.0678,32.4392,67.42,90,40,3.67,scattered clouds
164,Broken Hill,AU,-31.95,141.4333,82.11,65,75,14.97,thunderstorm
165,Kaeo,NZ,-35.1,173.7833,70.32,83,100,13.87,overcast clouds
166,Maanshan,CN,31.6957,118.4983,46.45,52,100,5.39,overcast clouds
167,Fairbanks,US,64.8378,-147.7164,-17.39,69,0,0.0,clear sky
168,Upata,VE,8.0086,-62.3989,71.19,88,91,5.79,overcast clouds
169,Grindavik,IS,63.8424,-22.4338,28.87,74,100,8.05,light snow
170,Huaral,PE,-11.495,-77.2078,66.13,87,100,2.33,overcast clouds
171,Missoula,US,47.0166,-113.8009,19.85,79,100,1.97,overcast clouds
172,Rokytne,UA,51.2796,27.214,27.9,93,100,19.86,light snow
173,Horki,BY,54.2861,30.9842,30.18,98,99,3.6,overcast clouds
174,Yulara,AU,-25.2406,130.9889,84.04,65,75,9.22,broken clouds
175,Road Town,VG,18.4167,-64.6167,75.0,71,5,8.59,clear sky
176,Sambava,MG,-14.2667,50.1667,82.8,68,56,9.48,broken clouds
