City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,Constitucion,CL,2022-01-30 07:40:35,-35.3333,-72.4167,56.48,92,6,5.61
69,Carnarvon,AU,2022-01-30 07:34:40,-24.8667,113.6333,87.87,58,2,17.27
70,Ewa Beach,US,2022-01-30 07:39:52,21.3156,-158.0072,74.08,69,0,8.99
71,Mitsamiouli,KM,2022-01-30 07:40:37,-11.3847,43.2844,86.29,66,20,5.75
72,Maraba,BR,2022-01-30 07:40:38,-5.3686,-49.1178,73.58,100,20,0.0
73,Nishihara,JP,2022-01-30 07:40:39,26.1842,127.7558,61.88,94,100,14.97
74,Puerto Ayora,EC,2022-01-30 07:33:37,-0.7393,-90.3518,72.9,84,100,5.68
75,Curvelo,BR,2022-01-30 07:40:40,-18.7564,-44.4308,66.94,91,90,4.32
76,Tasiilaq,GL,2022-01-30 07:36:05,65.6145,-37.6368,12.36,55,1,11.68
77,San Patricio,US,2022-01-30 07:37:33,28.017,-97.5169,53.46,66,0,7.0
78,Okhotsk,RU,2022-01-30 07:35:17,59.3833,143.3,15.42,81,100,11.52
79,Saurimo,AO,2022-01-30 07:33:39,-9.6608,20.3916,70.59,88,100,8.39
80,Tiksi,RU,2022-01-30 07:33:44,71.6872,128.8694,-12.28,99,44,1.52
81,Tuban,ID,2022-01-30 07:37:58,-6.8976,112.0649,84.29,74,89,11.14
82,Hilo,US,2022-01-30 07:33:47,19.7297,-155.09,68.79,79,0,6.91
83,Henties Bay,NA,2022-01-30 07:38:02,-22.116,14.2845,64.85,77,94,6.24
84,Mataura,NZ,2022-01-30 07:33:09,-46.1927,168.8643,61.48,93,100,2.77
85,Rawson,AR,2022-01-30 07:35:49,-43.3002,-65.1023,67.53,43,100,26.69
86,Isangel,VU,2022-01-30 07:34:47,-19.55,169.2667,78.94,90,100,11.99
87,Coulommiers,FR,2022-01-30 07:40:43,48.8145,3.085,45.75,87,7,5.19
88,Mountain Home,US,2022-01-30 07:38:07,43.133,-115.6912,17.78,92,0,5.75
89,Bardiyah,LY,2022-01-30 07:40:45,31.7561,25.0865,51.64,69,71,34.31
90,Nikolskoye,RU,2022-01-30 07:33:14,59.7035,30.7861,28.87,94,100,13.15
91,Saint-Philippe,RE,2022-01-30 07:34:42,-21.3585,55.7679,87.35,73,18,12.44
92,Qaanaaq,GL,2022-01-30 07:32:54,77.484,-69.3632,-10.28,91,95,5.93
93,Punta Arenas,CL,2022-01-30 07:30:30,-53.15,-70.9167,41.11,70,0,5.75
94,Souillac,MU,2022-01-30 07:34:27,-20.5167,57.5167,86.36,70,40,12.66
95,Isabela,PH,2022-01-30 07:40:48,6.7085,121.9711,87.85,71,91,9.44
96,Balykshi,KZ,2022-01-30 07:40:49,47.0667,51.8667,32.0,86,40,13.42
97,Basse-Pointe,MQ,2022-01-30 07:40:49,14.8695,-61.115,71.85,46,2,9.42
98,Bodden Town,KY,2022-01-30 07:40:50,19.2833,-81.25,72.0,64,100,10.0
99,Dzaoudzi,YT,2022-01-30 07:39:28,-12.7887,45.2699,87.69,66,0,6.91
100,New Norfolk,AU,2022-01-30 07:33:20,-42.7826,147.0587,76.87,38,14,1.99
101,High Prairie,CA,2022-01-30 07:40:50,55.4334,-116.4858,26.65,85,44,6.85
102,Barra Patuca,HN,2022-01-30 07:40:51,15.8,-84.2833,74.07,81,55,16.8
103,Keelung,TW,2022-01-30 07:40:51,25.1283,121.7419,57.09,88,100,20.22
